0.3,0.3,0.605,0.605,9.496
0.3,0.35,0.605,0.45,9.61325
0.3,0.4,0.605,0.3,9.6995
0.3,0.45,0.605,0.15,9.76325
0.3,0.5,0.605,-7.63278e-17,9.8045
0.3,0.55,0.605,-0.15,9.82325
0.3,0.6,0.605,-0.3,9.8195
0.3,0.65,0.605,-0.45,9.79325
0.3,0.7,0.605,-0.605,9.738
0.3,0.75,0.605,-0.78125,9.63263
0.3,0.8,0.605,-0.98,9.4755
0.3,0.85,0.605,-1.20125,9.26662
0.3,0.9,0.605,-1.445,9.006
0.3,0.95,0.605,-1.71125,8.69363
0.3,1,0.605,-2,8.3295
0.35,0,0.45,2,7.55375
0.35,0.05,0.45,1.71125,8.03337
0.35,0.1,0.45,1.445,8.45225
0.35,0.15,0.45,1.20125,8.81037
0.35,0.2,0.45,0.98,9.10775
0.35,0.25,0.45,0.78125,9.34438
0.35,0.3,0.45,0.605,9.52025
0.35,0.35,0.45,0.45,9.6375
0.35,0.4,0.45,0.3,9.72375
0.35,0.45,0.45,0.15,9.7875
0.35,0.5,0.45,-8.33751e-17,9.82875
0.35,0.55,0.45,-0.15,9.8475
0.35,0.6,0.45,-0.3,9.84375
0.35,0.65,0.45,-0.45,9.8175
0.35,0.7,0.45,-0.605,9.76225
0.35,0.75,0.45,-0.78125,9.65687
0.35,0.8,0.45,-0.98,9.49975
0.35,0.85,0.45,-1.20125,9.29087
0.35,0.9,0.45,-1.445,9.03025
0.35,0.95,0.45,-1.71125,8.71788
0.35,1,0.45,-2,8.35375
0.4,0,0.3,2,7.55
0.4,0.05,0.3,1.71125,8.02962
0.4,0.1,0.3,1.445,8.4485
0.4,0.15,0.3,1.20125,8.80663
0.4,0.2,0.3,0.98,9.104
0.4,0.25,0.3,0.78125,9.34062
0.4,0.3,0.3,0.605,9.5165
0.4,0.35,0.3,0.45,9.63375
0.4,0.4,0.3,0.3,9.72
0.4,0.45,0.3,0.15,9.78375
0.4,0.5,0.3,-8.50015e-17,9.825
0.4,0.55,0.3,-0.15,9.84375
0.4,0.6,0.3,-0.3,9.84
0.4,0.65,0.3,-0.45,9.81375
0.4,0.7,0.3,-0.605,9.7585
0.4,0.75,0.3,-0.78125,9.65313
0.4,0.8,0.3,-0.98,9.496
0.4,0.85,0.3,-1.20125,9.28712
0.4,0.9,0.3,-1.445,9.0265
0.4,0.95,0.3,-1.71125,8.71413
0.4,1,0.3,-2,8.35
0.45,0,0.15,2,7.52375
0.45,0.05,0.15,1.71125,8.00338
0.45,0.1,0.15,1.445,8.42225
0.45,0.15,0.15,1.20125,8.78038
0.45,0.2,0.15,0.98,9.07775
0.45,0.25,0.15,0.78125,9.31438
0.45,0.3,0.15,0.605,9.49025
0.45,0.35,0.15,0.45,9.6075
0.45,0.4,0.15,0.3,9.69375
0.45,0.45,0.15,0.15,9.7575
0.45,0.5,0.15,-7.45931e-17,9.79875
0.45,0.55,0.15,-0.15,9.8175
0.45,0.6,0.15,-0.3,9.81375
0.45,0.65,0.15,-0.45,9.7875
0.45,0.7,0.15,-0.605,9.73225
0.45,0.75,0.15,-0.78125,9.62687
0.45,0.8,0.15,-0.98,9.46975
0.45,0.85,0.15,-1.20125,9.26087
0.45,0.9,0.15,-1.445,9.00025
0.45,0.95,0.15,-1.71125,8.68788
0.45,1,0.15,-2,8.32375
0.5,0,-8.32667e-17,2,7.475
0.5,0.05,-7.91468e-17,1.71125,7.95462
0.5,0.1,-7.37257e-17,1.445,8.3735
0.5,0.15,-6.59195e-17,1.20125,8.73162
0.5,0.2,-8.67362e-17,0.98,9.029
0.5,0.25,-9.02056e-17,0.78125,9.26562
0.5,0.3,-6.93889e-17,0.605,9.4415
0.5,0.35,-8.65464e-17,0.45,9.55875
0.5,0.4,-7.02563e-17,0.3,9.645
0.5,0.45,-7.02563e-17,0.15,9.70875
0.5,0.5,-7.63278e-17,-7.97973e-17,9.75
0.5,0.55,-7.28584e-17,-0.15,9.76875
0.5,0.6,-8.32667e-17,-0.3,9.765
0.5,0.65,-7.63278e-17,-0.45,9.73875
0.5,0.7,-8.1532e-17,-0.605,9.6835
0.5,0.75,-7.45931e-17,-0.78125,9.57812
0.5,0.8,-7.28584e-17,-0.98,9.421
0.5,0.85,-8.32667e-17,-1.20125,9.21212
0.5,0.9,-8.32667e-17,-1.445,8.9515
0.5,0.95,-6.93889e-17,-1.71125,8.63912
0.5,1,-8.32667e-17,-2,8.275
0.55,0,-0.15,2,7.40375
0.55,0.05,-0.15,1.71125,7.88337
0.55,0.1,-0.15,1.445,8.30225
0.55,0.15,-0.15,1.20125,8.66037
0.55,0.2,-0.15,0.98,8.95775
0.55,0.25,-0.15,0.78125,9.19437
0.55,0.3,-0.15,0.605,9.37025
0.55,0.35,-0.15,0.45,9.4875
0.55,0.4,-0.15,0.3,9.57375
0.55,0.45,-0.15,0.15,9.6375
0.55,0.5,-0.15,-7.28584e-17,9.67875
0.55,0.55,-0.15,-0.15,9.6975
0.55,0.6,-0.15,-0.3,9.69375
0.55,0.65,-0.15,-0.45,9.6675
0.55,0.7,-0.15,-0.605,9.61225
0.55,0.75,-0.15,-0.78125,9.50687
0.55,0.8,-0.15,-0.98,9.34975
0.55,0.85,-0.15,-1.20125,9.14087
0.55,0.9,-0.15,-1.445,8.88025
0.55,0.95,-0.15,-1.71125,8.56787
0.55,1,-0.15,-2,8.20375
0.6,0,-0.3,2,7.31
0.6,0.05,-0.3,1.71125,7.78962
0.6,0.1,-0.3,1.445,8.2085
0.6,0.15,-0.3,1.20125,8.56663
0.6,0.2,-0.3,0.98,8.864
0.6,0.25,-0.3,0.78125,9.10062
0.6,0.3,-0.3,0.605,9.2765
0.6,0.35,-0.3,0.45,9.39375
0.6,0.4,-0.3,0.3,9.48
0.6,0.45,-0.3,0.15,9.54375
0.6,0.5,-0.3,-8.32667e-17,9.585
0.6,0.55,-0.3,-0.15,9.60375
0.6,0.6,-0.3,-0.3,9.6
0.6,0.65,-0.3,-0.45,9.57375
0.6,0.7,-0.3,-0.605,9.5185
0.6,0.75,-0.3,-0.78125,9.41312
0.6,0.8,-0.3,-0.98,9.256
0.6,0.85,-0.3,-1.20125,9.04712
0.6,0.9,-0.3,-1.445,8.7865
0.6,0.95,-0.3,-1.71125,8.47412
0.6,1,-0.3,-2,8.11
0.65,0,-0.45,2,7.19375
0.65,0.05,-0.45,1.71125,7.67337
0.65,0.1,-0.45,1.445,8.09225
0.65,0.15,-0.45,1.20125,8.45038
0.65,0.2,-0.45,0.98,8.74775
0.65,0.25,-0.45,0.78125,8.98438
0.65,0.3,-0.45,0.605,9.16025
0.65,0.35,-0.45,0.45,9.2775
0.65,0.4,-0.45,0.3,9.36375
0.65,0.45,-0.45,0.15,9.4275
0.65,0.5,-0.45,-8.32667e-17,9.46875
0.65,0.55,-0.45,-0.15,9.4875
0.65,0.6,-0.45,-0.3,9.48375
0.65,0.65,-0.45,-0.45,9.4575
0.65,0.7,-0.45,-0.605,9.40225
0.65,0.75,-0.45,-0.78125,9.29687
0.65,0.8,-0.45,-0.98,9.13975
0.65,0.85,-0.45,-1.20125,8.93087
0.65,0.9,-0.45,-1.445,8.67025
0.65,0.95,-0.45,-1.71125,8.35787
0.65,1,-0.45,-2,7.99375
0.7,0,-0.605,2,7.0455
0.7,0.05,-0.605,1.71125,7.52512
0.7,0.1,-0.605,1.445,7.944
0.7,0.15,-0.605,1.20125,8.30212
0.7,0.2,-0.605,0.98,8.5995
0.7,0.25,-0.605,0.78125,8.83613
0.7,0.3,-0.605,0.605,9.012
0.7,0.35,-0.605,0.45,9.12925
0.7,0.4,-0.605,0.3,9.2155
0.7,0.45,-0.605,0.15,9.27925
0.7,0.5,-0.605,-7.02563e-17,9.3205
0.7,0.55,-0.605,-0.15,9.33925
0.7,0.6,-0.605,-0.3,9.3355
0.7,0.65,-0.605,-0.45,9.30925
0.7,0.7,-0.605,-0.605,9.254
0.7,0.75,-0.605,-0.78125,9.14863
0.7,0.8,-0.605,-0.98,8.9915
0.7,0.85,-0.605,-1.20125,8.78262
0.7,0.9,-0.605,-1.445,8.522
0.7,0.95,-0.605,-1.71125,8.20962
0.7,1,-0.605,-2,7.8455
0.75,0,-0.78125,2,6.83437
0.75,0.05,-0.78125,1.71125,7.314
0.75,0.1,-0.78125,1.445,7.73287
0.75,0.15,-0.78125,1.20125,8.091
0.75,0.2,-0.78125,0.98,8.38837
0.75,0.25,-0.78125,0.78125,8.625
0.75,0.3,-0.78125,0.605,8.80088
0.75,0.35,-0.78125,0.45,8.91812
0.75,0.4,-0.78125,0.3,9.00438
0.75,0.45,-0.78125,0.15,9.06813
0.75,0.5,-0.78125,-7.45931e-17,9.10938
0.75,0.55,-0.78125,-0.15,9.12812
0.75,0.6,-0.78125,-0.3,9.12437
0.75,0.65,-0.78125,-0.45,9.09813
0.75,0.7,-0.78125,-0.605,9.04287
0.75,0.75,-0.78125,-0.78125,8.9375
0.75,0.8,-0.78125,-0.98,8.78037
0.75,0.85,-0.78125,-1.20125,8.5715
0.75,0.9,-0.78125,-1.445,8.31087
0.75,0.95,-0.78125,-1.71125,7.9985
0.75,1,-0.78125,-2,7.63438
0.8,0,-0.98,2,6.558
0.8,0.05,-0.98,1.71125,7.03762
0.8,0.1,-0.98,1.445,7.4565
0.8,0.15,-0.98,1.20125,7.81462
0.8,0.2,-0.98,0.98,8.112
0.8,0.25,-0.98,0.78125,8.34862
