0,1,0,0,0,0
0.01,0.9409,0.05865,0.00045,0,0
0.02,0.8836,0.1146,0.0018,0,0
0.03,0.8281,0.16785,0.00405,0,0
0.04,0.7744,0.2184,0.0072,0,0
0.05,0.7225,0.26625,0.01125,0,0
0.06,0.6724,0.3114,0.0162,0,0
0.07,0.6241,0.35385,0.02205,0,0
0.08,0.5776,0.3936,0.0288,0,0
0.09,0.5329,0.43065,0.03645,0,0
0.1,0.49,0.465,0.045,0,0
0.11,0.4489,0.49665,0.05445,0,0
0.12,0.4096,0.5256,0.0648,0,0
0.13,0.3721,0.55185,0.07605,0,0
0.14,0.3364,0.5754,0.0882,0,0
0.15,0.3025,0.59625,0.10125,0,0
0.16,0.2704,0.6144,0.1152,0,0
0.17,0.2401,0.62985,0.13005,0,0
0.18,0.2116,0.6426,0.1458,0,0
0.19,0.1849,0.65265,0.16245,0,0
0.2,0.16,0.66,0.18,0,0
0.21,0.1369,0.66465,0.19845,0,0
0.22,0.1156,0.6666,0.2178,0,0
0.23,0.0961,0.66585,0.23805,0,0
0.24,0.0784,0.6624,0.2592,0,0
0.25,0.0625,0.65625,0.28125,0,0
0.26,0.0484,0.6474,0.3042,0,0
0.27,0.0361,0.63585,0.32805,0,0
0.28,0.0256,0.6216,0.3528,0,0
0.29,0.0169,0.60465,0.37845,0,0
0.3,0.01,0.585,0.405,0,0
0.31,0.0049,0.56265,0.43245,0,0
0.32,0.0016,0.5376,0.4608,0,0
0.33,0.0001,0.50985,0.49005,0,0
0.34,0,0.4802,0.5196,0.0002,0
0.35,0,0.45125,0.5475,0.00125,0
0.36,0,0.4232,0.5736,0.0032,0
0.37,0,0.39605,0.5979,0.00605,0
0.38,0,0.3698,0.6204,0.0098,0
0.39,0,0.34445,0.6411,0.01445,0
0.4,0,0.32,0.66,0.02,0
0.41,0,0.29645,0.6771,0.02645,0
0.42,0,0.2738,0.6924,0.0338,0
0.43,0,0.25205,0.7059,0.04205,0
0.44,0,0.2312,0.7176,0.0512,0
0.45,0,0.21125,0.7275,0.06125,0
0.46,0,0.1922,0.7356,0.0722,0
0.47,0,0.17405,0.7419,0.08405,0
0.48,0,0.1568,0.7464,0.0968,0
0.49,0,0.14045,0.7491,0.11045,0
0.5,0,0.125,0.75,0.125,0
0.51,0,0.11045,0.7491,0.14045,0
0.52,0,0.0968,0.7464,0.1568,0
0.53,0,0.08405,0.7419,0.17405,0
0.54,0,0.0722,0.7356,0.1922,0
0.55,0,0.06125,0.7275,0.21125,0
0.56,0,0.0512,0.7176,0.2312,0
0.57,0,0.04205,0.7059,0.25205,0
0.58,0,0.0338,0.6924,0.2738,0
0.59,0,0.02645,0.6771,0.29645,0
0.6,0,0.02,0.66,0.32,0
0.61,0,0.01445,0.6411,0.34445,0
0.62,0,0.0098,0.6204,0.3698,0
0.63,0,0.00605,0.5979,0.39605,0
0.64,0,0.0032,0.5736,0.4232,0
0.65,0,0.00125,0.5475,0.45125,0
0.66,0,0.0002,0.5196,0.4802,0
0.67,0,0,0.49005,0.50985,0.0001
0.68,0,0,0.4608,0.5376,0.0016
0.69,0,0,0.43245,0.56265,0.0049
0.7,0,0,0.405,0.585,0.01
0.71,0,0,0.37845,0.60465,0.0169
0.72,0,0,0.3528,0.6216,0.0256
0.73,0,0,0.32805,0.63585,0.0361
0.74,0,0,0.3042,0.6474,0.0484
0.75,0,0,0.28125,0.65625,0.0625
0.76,0,0,0.2592,0.6624,0.0784
0.77,0,0,0.23805,0.66585,0.0961
0.78,0,0,0.2178,0.6666,0.1156
0.79,0,0,0.19845,0.66465,0.1369
0.8,0,0,0.18,0.66,0.16
0.81,0,0,0.16245,0.65265,0.1849
0.82,0,0,0.1458,0.6426,0.2116
0.83,0,0,0.13005,0.62985,0.2401
0.84,0,0,0.1152,0.6144,0.2704
0.85,0,0,0.10125,0.59625,0.3025
0.86,0,0,0.0882,0.5754,0.3364
0.87,0,0,0.07605,0.55185,0.3721
0.88,0,0,0.0648,0.5256,0.4096
0.89,0,0,0.05445,0.49665,0.4489
0.9,0,0,0.045,0.465,0.49
0.91,0,0,0.03645,0.43065,0.5329
0.92,0,0,0.0288,0.3936,0.5776
0.93,0,0,0.02205,0.35385,0.6241
0.94,0,0,0.0162,0.3114,0.6724
0.95,0,0,0.01125,0.26625,0.7225
0.96,0,0,0.0072,0.2184,0.7744
0.97,0,0,0.00405,0.16785,0.8281
0.98,0,0,0.0018,0.1146,0.8836
0.99,0,0,0.00045,0.05865,0.9409
1,0,0,0,0,1
